2021-07-05 15-39-25 | Initializing librouter...
2021-07-05 15-39-25 | Getting modules...
2021-07-05 15-39-26 | Loading settings...
2021-07-05 15-39-26 | Loading pairs...
2021-07-05 15-39-26 | Loading filter rules...
2021-07-05 15-39-26 | *** LoadFilterRules: No rules loaded
2021-07-05 15-39-26 | Loading IP exclusions...
2021-07-05 15-39-26 | Setting up user interface...
2021-07-05 15-39-26 | Loading port list...
2021-07-05 15-39-26 | Loading IP range list...
2021-07-05 15-39-26 | Initialization done
2021-07-05 15-40-19 | Closing, saving settings...
2021-07-05 15-40-20 | Normal program termination
